time_s,gps_available,ekf_x,ekf_y,ekf_vx,ekf_vy,ekf_yaw,accel_bias_x,accel_bias_y,gyro_bias_z,reference_x,reference_y,position_error,position_error_x,position_error_y
4879.6,True,-4652.431331875305,523.2224248854603,10.48308267163684,0.14996928692107758,-0.4259324788085643,-0.4098716163030689,-0.2340551342670462,0.0,-4653.137298412505,527.4094834804748,4.246156901214401,0.7059665371998562,-4.187058595014491
4879.6990000000005,True,-4651.633772781037,523.4868380259956,10.418003860001313,0.22375570364307476,-0.4260809788085645,-0.4049679779094576,-0.24069929173189156,0.0,-4652.316979947066,527.5637722941707,4.133783383141211,0.6832071660292058,-4.076934268175137
4879.799,True,-4650.783483177017,523.7807222382472,10.30607420896749,0.36719710765690416,-0.4255709788085672,-0.39921723226639216,-0.24923881679697119,0.0,-4651.4816515147195,527.6645164337008,3.9460481979328534,0.6981683377025547,-3.883794195453561
4879.899,True,-4649.894469057318,524.0156939245529,10.26280215798269,0.4445418370434172,-0.42578097880856797,-0.3949553143328651,-0.25423242779581007,0.0,-4650.693322616837,527.863889641685,3.93023883331651,0.7988535595186477,-3.8481957171320573
4879.999000000001,True,-4649.035217627745,524.3486279498535,10.189220808069093,0.5056208627321708,-0.4274009788085738,-0.3857278669193777,-0.2596260591387868,0.0,-4649.932364835178,528.0752853548025,3.8331251643622837,0.8971472074335907,-3.7266574049490373
4880.1,True,-4648.308422170603,524.4366240977679,10.06585310248171,0.5369656990295095,-0.4299259788085653,-0.3752627576675528,-0.25834149687164815,0.0,-4649.143696345293,528.199851864852,3.854810783145847,0.8352741746903121,-3.7632277670841177
4880.1990000000005,True,-4647.331729857893,524.7211922996873,10.045631604318388,0.5998263601355724,-0.4293517788085644,-0.37301356758923415,-0.2633678993872593,0.0,-4648.390617098313,528.376181938766,3.805284673936436,1.0588872404196081,-3.6549896390786216
4880.299,True,-4646.313800867279,525.0671635526402,10.079468109630875,0.7612942018374633,-0.43350177880854174,-0.3719111575364914,-0.2701814030465852,0.0,-4647.616483146623,528.3669424201175,3.5476078835136615,1.3026822793444808,-3.2997788674773574
4880.399,True,-4645.455589050836,525.3627812495067,10.067298441970225,0.8548939295394311,-0.4353417788085484,-0.36710284187045616,-0.27543519887413315,0.0,-4646.875832967312,528.4770373970061,3.4228181568005835,1.420243916475556,-3.114256147499418
4880.499000000001,True,-4644.841237061369,525.6019742746229,9.883173329610766,0.8881215624373413,-0.4304217788085305,-0.3580982039408777,-0.2807522961357593,0.0,-4646.142246301863,528.6434600353322,3.308059956598446,1.30100924049475,-3.0414857607092927
4880.599,True,-4643.838980604068,526.0243866578147,9.885211376262161,0.9976754047925398,-0.4326017788085185,-0.3556574156097614,-0.28841917969810005,0.0,-4645.449071085893,528.9206455674939,3.313714989488307,1.6100904818249546,-2.8962589096792044
4880.6990000000005,True,-4643.0209727736055,526.1302553864078,9.78206560700072,0.9908504188436889,-0.4286717788085042,-0.3511976237673336,-0.28910143977653474,0.0,-4644.742855536657,529.0887379989597,3.4230833496228037,1.721882763051326,-2.9584826125518475
4880.799,True,-4642.1198547663,526.1518420806896,9.664802368593993,0.9752245659067609,-0.4302517788084955,-0.34810129026046976,-0.28863652875118484,0.0,-4644.076847681736,529.3218410130274,3.7254146751857684,1.956992915435876,-3.169998932337876
4880.899,True,-4641.242604360782,526.4063688032771,9.691508779184717,1.0850278886331897,-0.4293817788084924,-0.34494931374417664,-0.29172361025110805,0.0,-4643.384351649814,529.4564262766016,3.7269199133677344,2.1417472890316276,-3.0500574733245003
4881.0,True,-4640.576661781078,526.7812593604815,9.64273711995783,1.1807780773425511,-0.42342277880851253,-0.3347448200597718,-0.29646131338025283,0.0,-4642.7254073087115,529.6358732962532,3.572943893322143,2.148745527633764,-2.854613935771681
4881.099,True,-4639.732611937255,527.1403347712082,9.57586918308327,1.2641715903028512,-0.4264620788085175,-0.3297305628221142,-0.30141329948288226,0.0,-4642.093358655006,529.7571002215795,3.5242852449301356,2.360746717751681,-2.616765450371304
4881.200000000001,True,-4638.811410187898,527.338652647126,9.482049760337349,1.317777461191856,-0.43013847880853817,-0.32580514365228386,-0.30326563658295413,0.0,-4641.502876063618,530.0032276154233,3.787340534179567,2.6914658757195866,-2.664574968297302
4881.299,True,-4638.057416906057,527.5930859166826,9.417300844320325,1.3321727600646351,-0.43124727880852975,-0.3227768316937431,-0.3056138921546848,0.0,-4640.90444701919,530.1464958001729,3.824327718461281,2.8470301131328597,-2.5534098834903034
4881.399,True,-4637.331769253623,527.6154061319039,9.290021434599346,1.268068894723705,-0.4295172788085235,-0.3111113813887769,-0.3033892432777272,0.0,-4640.340316767985,530.3022317680333,4.033657167526495,3.0085475143623626,-2.686825636129356
4881.499000000001,True,-4636.738787101345,527.8065404171939,9.161848689746176,1.3123032567124864,-0.42833727880851913,-0.30186306201406216,-0.30527092754093704,0.0,-4639.769870105345,530.4029759067988,3.991107794687639,3.031083003999811,-2.5964354896049144
4881.599,True,-4636.026336861421,527.9123178844613,9.099359533716509,1.3623627710076065,-0.430557278808507,-0.29506038820806213,-0.304925860638108,0.0,-4639.239699055403,530.5472459677557,4.1555435978757105,3.213362193981993,-2.6349280832943123
4881.6990000000005,True,-4635.393810060038,528.292305823286,8.998523869636017,1.446096094922703,-0.4339772788085195,-0.2866885524770159,-0.3071390496002107,0.0,-4638.73683120325,530.6809406754059,4.10869405294752,3.343021143212354,-2.3886348521198215
4881.8,True,-4634.98010672576,528.5119756143799,8.831097808828929,1.5324189716553966,-0.43832027880850477,-0.27318931015515335,-0.3104631343998042,0.0,-4638.236000903216,530.7935960005829,3.975756340814707,3.255894177455957,-2.281620386202917
4881.899,True,-4634.41202596033,528.869301518847,8.690702416213364,1.5853208598400796,-0.4424089788085114,-0.2634905390174091,-0.3140364037418541,0.0,-4637.778774217555,530.9258435556261,3.945169068185838,3.366748257225481,-2.056542036779092
4882.0,True,-4633.788260933302,529.2081875845753,8.549689645076334,1.6551033314306607,-0.44088387880851654,-0.25603368124289233,-0.3165308445017796,0.0,-4637.325894309665,531.0273669308198,3.977972272321996,3.537633376363374,-1.819179346244482
