time_s,gps_x,gps_y,dr_x,dr_y,gps_available,estimated_heading_deg,speed_mps,position_error_m
10.299,-19.03752822179725,-9.785094560281484,-19.03752822179725,-9.785094560281484,True,67.37725000001208,0.0,0.0
10.399,-19.030804299951033,-9.773962611072069,-19.030804299951033,-9.773962611072069,True,69.65725000001208,0.0,0.0
10.5,-19.03073638154291,-9.762719342758134,-19.03073638154291,-9.762719342758134,True,67.95725000001208,0.0,0.0
10.599,-19.024012459696692,-9.751698712653235,-19.024012459696692,-9.751698712653235,True,68.07725000001207,0.0,0.0
10.7,-19.02394454128857,-9.729323495920857,-19.02394454128857,-9.729323495920857,True,68.18725000001209,0.0,0.0
10.799,-19.017220619442355,-9.718302865815959,-19.017220619442355,-9.718302865815959,True,69.94725000001208,0.0,0.0
10.899,-19.01715270103423,-9.707170917397514,-19.01715270103423,-9.707170917397514,True,70.09725000001208,0.0,0.0
10.999,-19.0104287792031,-9.6850183380832,-19.0104287792031,-9.6850183380832,True,68.08725000001208,0.0,0.0
11.1,-19.010360860794975,-9.673663749873775,-19.010360860794975,-9.673663749873775,True,67.87725000001208,0.0,0.0
11.199,-19.010360860794975,-9.651622491245922,-19.010360860794975,-9.651622491245922,True,70.17725000001208,0.0,0.0
11.3,-19.003569020540635,-9.629135953036108,-19.003569020540635,-9.629135953036108,True,70.05725000001209,0.0,0.0
11.4,-19.003569020540635,-9.618004004617665,-19.003569020540635,-9.618004004617665,True,68.15725000001208,0.0,0.0
11.5,-19.003569020540635,-9.595740106989805,-19.003569020540635,-9.595740106989805,True,68.19725000001208,0.0,0.0
11.6,-18.99677718030138,-9.573476208570973,-18.99677718030138,-9.573476208570973,True,68.29725000001207,0.0,0.0
11.699,-18.99677718030138,-9.551434949152148,-18.99677718030138,-9.551434949152148,True,68.28725000001208,0.0,0.0
11.799,-18.99677718030138,-9.529171051524287,-18.99677718030138,-9.529171051524287,True,69.90725000001208,0.0,0.0
11.905,-18.99643758829092,-9.505571318314436,-18.99643758829092,-9.505571318314436,True,67.93725000001209,0.0,0.0
12.0,-18.989985340031957,-9.484420615686615,-18.989985340031957,-9.484420615686615,True,69.61725000001208,0.0,0.0
12.099,-18.989985340031957,-9.462379357058762,-18.989985340031957,-9.462379357058762,True,67.58725000001208,0.0,0.0
12.2,-18.9831934997927,-9.439892818848948,-18.9831934997927,-9.439892818848948,True,67.56725000001208,0.0,0.0
12.299,-18.9831934997927,-9.428872189535022,-18.9831934997927,-9.428872189535022,True,67.66725000001207,0.0,0.0
12.399,-18.9831934997927,-9.40671961101168,-18.9831934997927,-9.40671961101168,True,67.45725000001208,0.0,0.0
12.499,-18.97646957794648,-9.38445571338382,-18.97646957794648,-9.38445571338382,True,69.31725000001208,0.0,0.0
12.6,-18.976401659538357,-9.361969175964978,-18.976401659538357,-9.361969175964978,True,67.17725000001208,0.0,0.0
12.699,-18.976401659538357,-9.35094854586008,-18.976401659538357,-9.35094854586008,True,67.00725000001208,0.0,0.0
12.802,-18.976265822737194,-9.328128050336714,-18.976265822737194,-9.328128050336714,True,66.89725000001208,0.0,0.0
12.899,-18.969677737692145,-9.306532069708876,-18.969677737692145,-9.306532069708876,True,68.83725000001208,0.0,0.0
12.999,-18.96960981928402,-9.284268171290044,-18.96960981928402,-9.284268171290044,True,68.25725000001208,0.0,0.0
13.099,-18.96960981928402,-9.262004272871211,-18.96960981928402,-9.262004272871211,True,66.50725000001208,0.0,0.0
13.2,-18.96960981928402,-9.239517736243343,-18.96960981928402,-9.239517736243343,True,66.36725000001208,0.0,0.0
13.299,-18.962885897437804,-9.217476476824519,-18.962885897437804,-9.217476476824519,True,68.19725000001208,0.0,0.0
13.4,-18.96281797902968,-9.194989939405678,-18.96281797902968,-9.194989939405678,True,66.21725000001209,0.0,0.0
13.5,-18.96281797902968,-9.172726041777818,-18.96281797902968,-9.172726041777818,True,66.11725000001208,0.0,0.0
13.6,-18.96281797902968,-9.150462143358984,-18.96281797902968,-9.150462143358984,True,68.01725000001207,0.0,0.0
13.699,-18.96281797902968,-9.12842088394016,-18.96281797902968,-9.12842088394016,True,65.88725000001207,0.0,0.0
13.8,-18.956026138790424,-9.105934346521318,-18.956026138790424,-9.105934346521318,True,65.60725000001207,0.0,0.0
13.899,-18.956026138790424,-9.083893087893467,-18.956026138790424,-9.083893087893467,True,67.56725000001208,0.0,0.0
13.999,-18.956026138790424,-9.061629189474633,-18.956026138790424,-9.061629189474633,True,65.52725000001209,0.0,0.0
14.1,-18.949234298536084,-9.039142652055792,-18.949234298536084,-9.039142652055792,True,67.30725000001208,0.0,0.0
14.199,-18.949234298536084,-9.017101393427941,-18.949234298536084,-9.017101393427941,True,67.12725000001208,0.0,0.0
14.299,-18.949234298536084,-8.994837495009108,-18.949234298536084,-8.994837495009108,True,67.10725000001207,0.0,0.0
14.4,-18.949234298536084,-8.97235095838124,-18.949234298536084,-8.97235095838124,True,65.16725000001207,0.0,0.0
14.5,-18.942442458281747,-8.950087059962406,-18.942442458281747,-8.950087059962406,True,66.83725000001208,0.0,0.0
14.599,-18.942442458281747,-8.928045800543583,-18.942442458281747,-8.928045800543583,True,66.74725000001207,0.0,0.0
14.7,-18.942442458281747,-8.91669121312513,-18.942442458281747,-8.91669121312513,True,64.74725000001207,0.0,0.0
14.799,-18.93571853643553,-8.894649954497277,-18.93571853643553,-8.894649954497277,True,64.64725000001208,0.0,0.0
14.899,-18.93565061802741,-8.883406685392371,-18.93565061802741,-8.883406685392371,True,64.72725000001208,0.0,0.0
15.0,-18.93565061802741,-8.849899518659605,-18.93565061802741,-8.849899518659605,True,64.63725000001207,0.0,0.0
15.1,-18.92885877778815,-8.827635620240772,-18.92885877778815,-8.827635620240772,True,66.46725000001209,0.0,0.0
15.199,-18.92885877778815,-8.816614990135873,-18.92885877778815,-8.816614990135873,True,64.43725000001209,0.0,0.0
15.299,-18.92885877778815,-8.783441782298604,-18.92885877778815,-8.783441782298604,True,66.35725000001207,0.0,0.0
15.399,-18.92885877778815,-8.761066564775254,-18.92885877778815,-8.761066564775254,True,66.16725000001207,0.0,0.0
15.499,-18.922134855941934,-8.738802666356422,-18.922134855941934,-8.738802666356422,True,64.08725000001208,0.0,0.0
15.599,-18.92206693753381,-8.71653876872856,-18.92206693753381,-8.71653876872856,True,64.05725000001208,0.0,0.0
15.699,-18.92206693753381,-8.694274870309728,-18.92206693753381,-8.694274870309728,True,65.95725000001208,0.0,0.0
15.799,-18.92206693753381,-8.683031601995793,-18.92206693753381,-8.683031601995793,True,63.97725000001208,0.0,0.0
15.9,-18.91527509724931,-8.660656383681472,-18.91527509724931,-8.660656383681472,True,65.87725000001208,0.0,0.0
15.999,-18.91527509724931,-8.638615125053619,-18.91527509724931,-8.638615125053619,True,65.87725000001208,0.0,0.0
16.1,-18.908483257040213,-8.627260536844195,-18.908483257040213,-8.627260536844195,True,65.37725000001208,0.0,0.0
16.2,-18.908483257040213,-8.604996638425362,-18.908483257040213,-8.604996638425362,True,63.60725000001208,0.0,0.0
16.3,-18.908483257040213,-8.582732740797502,-18.908483257040213,-8.582732740797502,True,63.60725000001208,0.0,0.0
16.399,-18.901759335178916,-8.571712110692603,-18.901759335178916,-8.571712110692603,True,65.61725000001208,0.0,0.0
16.499,-18.90169141677079,-8.54955953216926,-18.90169141677079,-8.54955953216926,True,63.54725000001208,0.0,0.0
16.599,-18.894967494954738,-8.527295633750427,-18.894967494954738,-8.527295633750427,True,65.38725000001207,0.0,0.0
16.699,-18.894899576546614,-8.516052365436492,-18.894899576546614,-8.516052365436492,True,65.35725000001207,0.0,0.0
16.799,-18.894899576546614,-8.493899787704123,-18.894899576546614,-8.493899787704123,True,63.35725000001208,0.0,0.0
16.899,-18.894899576546614,-8.482656518599216,-18.894899576546614,-8.482656518599216,True,65.38725000001207,0.0,0.0
17.0,-18.8881077362772,-8.460281300284894,-18.8881077362772,-8.460281300284894,True,63.307250000012075,0.0,0.0
17.099,-18.8881077362772,-8.42721941155214,-18.8881077362772,-8.42721941155214,True,63.21725000001208,0.0,0.0
17.199,-18.881383814446064,-8.404844194028792,-18.881383814446064,-8.404844194028792,True,65.29725000001207,0.0,0.0
17.299,-18.881315896037936,-8.393600924923884,-18.881315896037936,-8.393600924923884,True,63.11725000001208,0.0,0.0
17.399,-18.881315896037936,-8.371448347191516,-18.881315896037936,-8.371448347191516,True,62.68725000001208,0.0,0.0
17.5,-18.881315896037936,-8.348961809772675,-18.881315896037936,-8.348961809772675,True,62.67725000001208,0.0,0.0
17.6,-18.874524055768518,-8.326697911353842,-18.874524055768518,-8.326697911353842,True,65.02725000001207,0.0,0.0
17.7,-18.874524055768518,-8.304434013725981,-18.874524055768518,-8.304434013725981,True,62.95725000001208,0.0,0.0
17.8,-18.874524055768518,-8.282170115307148,-18.874524055768518,-8.282170115307148,True,62.81725000001208,0.0,0.0
17.9,-18.874524055768518,-8.259906216888316,-18.874524055768518,-8.259906216888316,True,62.78725000001208,0.0,0.0
17.999,-18.867800133952464,-8.237864958260463,-18.867800133952464,-8.237864958260463,True,64.86725000001208,0.0,0.0
18.099,-18.86773221554434,-8.226621688364585,-18.86773221554434,-8.226621688364585,True,62.83725000001208,0.0,0.0
18.2,-18.860940375274925,-8.204246471632207,-18.860940375274925,-8.204246471632207,True,64.85725000001207,0.0,0.0
18.299,-18.860940375274925,-8.193225841527306,-18.860940375274925,-8.193225841527306,True,62.75725000001208,0.0,0.0
18.399,-18.854216453443787,-8.171073263794938,-18.854216453443787,-8.171073263794938,True,62.70725000001208,0.0,0.0
18.5,-18.854148535035662,-8.159718675585514,-18.854148535035662,-8.159718675585514,True,64.51725000001207,0.0,0.0
18.6,-18.854148535035662,-8.137454777166681,-18.854148535035662,-8.137454777166681,True,64.65725000001208,0.0,0.0
18.699,-18.84742461318945,-8.115413517747855,-18.84742461318945,-8.115413517747855,True,64.53725000001208,0.0,0.0
18.799,-18.847356694781325,-8.104170249433922,-18.847356694781325,-8.104170249433922,True,64.61725000001208,0.0,0.0
18.9,-18.847356694781325,-8.081795031119599,-18.847356694781325,-8.081795031119599,True,62.46725000001208,0.0,0.0
18.999,-18.84063277293511,-8.070774401805672,-18.84063277293511,-8.070774401805672,True,62.48725000001208,0.0,0.0
19.099,-18.840564854526985,-8.04862182328233,-18.840564854526985,-8.04862182328233,True,64.16725000001207,0.0,0.0
19.2,-18.833773014272648,-8.03726723586388,-18.833773014272648,-8.03726723586388,True,62.027250000012074,0.0,0.0
19.3,-18.833773014272648,-8.015003337445044,-18.833773014272648,-8.015003337445044,True,62.017250000012076,0.0,0.0
19.4,-18.833773014272648,-8.003871388235629,-18.833773014272648,-8.003871388235629,True,62.37725000001208,0.0,0.0
19.499,-18.827049092441513,-7.981830128816805,-18.827049092441513,-7.981830128816805,True,62.28725000001208,0.0,0.0
19.6,-18.82698117403339,-7.959343591397963,-18.82698117403339,-7.959343591397963,True,64.29725000001207,0.0,0.0
19.699,-18.820257252187172,-7.948322962084037,-18.820257252187172,-7.948322962084037,True,62.22725000001208,0.0,0.0
