time_s,reference_x,reference_y,dr_x,dr_y,position_error_m,estimated_heading_deg,estimated_speed_mps,outage
4294.400000000001,-4513.028425887578,114.45870043368481,,,,,,False
4294.499000000001,-4513.028425887578,114.45870043368481,,,,,,False
4294.599,-4513.028425887578,114.45870043368481,,,,,,False
4294.6990000000005,-4513.028425887578,114.45870043368481,,,,,,False
4294.799,-4513.028425887578,114.45870043368481,,,,,,False
4294.899,-4513.028425887578,114.45870043368481,,,,,,False
4295.001,-4513.028425887578,114.45870043368481,,,,,,False
4295.1,-4513.028425887578,114.45870043368481,,,,,,False
4295.200000000001,-4513.028425887578,114.45870043368481,,,,,,False
4295.299,-4513.028425887578,114.45870043368481,,,,,,False
4295.400000000001,-4513.028425887578,114.45870043368481,,,,,,False
4295.499000000001,-4513.028425887578,114.45870043368481,,,,,,False
4295.599,-4513.028425887578,114.45870043368481,,,,,,False
4295.6990000000005,-4513.028425887578,114.45870043368481,,,,,,False
4295.799,-4513.028425887578,114.45870043368481,,,,,,False
4295.899,-4513.028425887578,114.45870043368481,,,,,,False
4296.001,-4513.028493805986,114.45870043368481,,,,,,False
4296.099,-4513.035149809424,114.45870043368481,,,,,,False
4296.1990000000005,-4513.028493805986,114.45870043368481,,,,,,False
4296.3,-4513.028425887578,114.45870043368481,,,,,,False
4296.399,-4513.028425887578,114.45870043368481,,,,,,False
4296.499000000001,-4513.028425887578,114.45870043368481,,,,,,False
4296.6,-4513.028425887578,114.45870043368481,,,,,,False
4296.6990000000005,-4513.028425887578,114.45870043368481,,,,,,False
4296.799,-4513.028425887578,114.45870043368481,,,,,,False
4296.899,-4513.028425887578,114.45870043368481,,,,,,False
4297.001,-4513.028425887578,114.45870043368481,,,,,,False
4297.1,-4513.028425887578,114.45870043368481,,,,,,False
4297.1990000000005,-4513.028425887578,114.45870043368481,,,,,,False
4297.3,-4513.028425887578,114.45870043368481,,,,,,False
4297.399,-4513.028425887578,114.45870043368481,,,,,,False
4297.5,-4513.028425887578,114.45870043368481,,,,,,False
4297.6,-4513.028425887578,114.45870043368481,,,,,,False
4297.700000000001,-4513.028425887578,114.45870043368481,,,,,,False
4297.8,-4513.028425887578,114.45870043368481,,,,,,False
4297.900000000001,-4513.028425887578,114.45870043368481,,,,,,False
4298.0,-4513.028425887578,114.45870043368481,,,,,,False
4298.1,-4513.028425887578,114.45870043368481,,,,,,False
4298.1990000000005,-4513.021701965731,114.45870043368481,,,,,,False
4298.299,-4513.0283579691695,114.45870043368481,,,,,,False
4298.400000000001,-4513.021634047323,114.45870043368481,,,,,,False
4298.499000000001,-4513.021634047323,114.45870043368481,,,,,,False
4298.599,-4513.021634047323,114.45870043368481,,,,,,False
4298.700000000001,-4513.021634047323,114.45870043368481,,,,,,False
4298.799,-4513.021634047323,114.45870043368481,,,,,,False
4298.900000000001,-4513.021634047323,114.45870043368481,,,,,,False
4299.001,-4513.021634047323,114.44756848447541,,,,,,False
4299.1,-4513.021634047323,114.44756848447541,,,,,,False
4299.200000000001,-4513.021634047323,114.44756848447541,,,,,,False
4299.3,-4513.021634047323,114.44756848447541,,,,,,False
4299.399,-4513.021634047323,114.44756848447541,,,,,,False
4299.499000000001,-4513.021634047323,114.44756848447541,,,,,,False
4299.599,-4513.021634047323,114.44756848447541,,,,,,False
4299.6990000000005,-4513.014910125477,114.44756848447541,,,,,,False
4299.8,-4513.014842207069,114.44756848447541,,,,,,False
4299.900000000001,-4513.014842207069,114.44756848447541,,,,,,False
4300.001,-4513.014842207069,114.44756848447541,,,,,,False
4300.1,-4513.014842207069,114.44756848447541,,,,,,False
4300.200000000001,-4513.014842207069,114.44756848447541,,,,,,False
4300.3,-4513.014842207069,114.44756848447541,,,,,,False
4300.400000000001,-4513.014842207069,114.44756848447541,,,,,,False
4300.499000000001,-4513.014842207069,114.44756848447541,,,,,,False
